Power before,fibr,r,,STD of power
1.407448,4.435292,,,
1.408185,4.424305,,,
1.406256,4.413652,,,
1.401034,4.416552,,,
1.402509,4.415117,,,
1.40451,4.421527,,,
1.408941,4.415585,,,
1.411492,4.415301,,,
1.407792,4.416943,,,
1.401496,4.414955,,,
1.403786,4.413872,,,
1.404526,4.413236,,,
1.40758,4.411322,,,
1.411428,4.412794,,,
1.408639,4.410525,,,
1.406862,4.409659,,,
1.406713,4.406989,,,
1.40478,4.402172,,,
1.402275,4.401054,,,
1.413204,4.399253,,,
1.411145,4.39795,,,
1.413212,4.402824,,,
1.407454,4.406369,,,
1.402274,4.407398,,,
1.407372,4.399927,,,
1.412015,4.402554,,,
1.407447,4.396657,,,
1.406272,4.399949,,,
1.407821,4.402563,,,
1.405635,4.398217,,,
1.402924,4.400909,,,
1.402083,4.395272,,,
1.406186,4.390003,,,
1.406476,4.395472,,,
1.404109,4.391795,,,
1.404139,4.390626,,,
1.408374,4.389127,,,
1.407103,4.386897,,,
1.412022,4.387978,,,
1.414604,4.384009,,,
1.410951,4.382479,,,
1.411624,4.383864,,,
1.413426,4.386776,,,
1.4088,4.385168,,,
1.403144,4.377651,,,
1.401396,4.378776,,,
1.405217,4.380668,,,
1.407566,4.374843,,,
1.404724,4.374521,,,
1.405387,4.379591,,,
1.40868,4.378926,,,
1.404842,4.375846,,,
1.404328,4.375452,,,
1.410676,4.373731,,,
1.411616,4.374856,,,
1.40701,4.375617,,,
1.407751,4.377284,,,
1.410823,4.368003,,,
1.404064,4.366715,,,
1.404325,4.367947,,,
1.405877,4.364578,,,
1.40811,4.363128,,,
1.412022,4.361517,,,
1.40656,4.360524,,,
1.403153,4.359064,,,
1.406226,4.35875,,,
1.410802,4.35972,,,
1.412361,4.359785,,,
1.409104,4.359667,,,
1.406516,4.355219,,,
1.403221,4.354136,,,
1.401608,4.352106,,,
1.403515,4.34945,,,
1.406121,4.347507,,,
1.405623,4.345078,,,
1.408677,4.34352,,,
1.410354,4.343868,,,
1.41064,4.340837,,,
1.413633,4.337325,,,
1.41207,4.336388,,,
1.410967,4.333457,,,
1.411626,4.330342,,,
1.410583,4.326999,,,
1.409637,4.342476,,,
1.406739,4.332811,,,
1.400589,4.329034,,,
